t_ms,blink_left,blink_right,blink_mean,gaze_dx,gaze_dy,mouth_open,brow_left,brow_right,brow_mean,iris_r_left,iris_r_right,iris_r_mean,gconf_left,gconf_right,gconf_mean
1760904733740.034,0.000000,0.000000,0.000000,0.051342,-0.027742,0.005459,1.000000,1.000000,1.000000,0.096361,0.080181,0.088271,1.000000,1.000000,1.000000
1760904733808.404,0.000000,0.000000,0.000000,0.035395,-0.027107,0.004366,1.000000,1.000000,1.000000,0.094479,0.082312,0.088395,1.000000,1.000000,1.000000
1760904733872.078,0.000000,0.000000,0.000000,0.043792,-0.034783,0.003846,1.000000,1.000000,1.000000,0.099392,0.085297,0.092345,1.000000,1.000000,1.000000
1760904733939.984,0.000000,0.000000,0.000000,0.034984,-0.054936,0.004847,1.000000,1.000000,1.000000,0.100392,0.086549,0.093470,1.000000,1.000000,1.000000
1760904734003.913,0.000000,0.000000,0.000000,0.004584,-0.070402,0.003189,1.000000,1.000000,1.000000,0.093484,0.088366,0.090925,1.000000,1.000000,1.000000
1760904734072.267,0.000000,0.005061,0.002530,0.050648,-0.056772,0.000503,1.000000,1.000000,1.000000,0.094038,0.088406,0.091222,1.000000,1.000000,1.000000
1760904734140.034,0.000000,0.068456,0.034228,0.155628,-0.060872,0.009524,1.000000,1.000000,1.000000,0.082007,0.072841,0.077424,1.000000,1.000000,1.000000
1760904734204.251,0.000000,0.014905,0.007453,0.059857,-0.075695,0.026855,1.000000,1.000000,1.000000,0.094558,0.092775,0.093666,1.000000,1.000000,1.000000
1760904734272.143,0.000000,0.000000,0.000000,0.031046,-0.071665,0.004783,1.000000,1.000000,1.000000,0.091793,0.089648,0.090721,1.000000,1.000000,1.000000
1760904734340.106,0.038593,0.108177,0.073385,-0.029300,-0.120214,0.000490,1.000000,1.000000,1.000000,0.088538,0.101099,0.094818,1.000000,1.000000,1.000000
1760904734404.692,0.134300,0.054748,0.094524,-0.072344,-0.072533,0.014783,1.000000,1.000000,1.000000,0.089987,0.099361,0.094674,1.000000,1.000000,1.000000
1760904734471.936,0.107444,0.009192,0.058318,-0.078639,-0.081451,0.007598,1.000000,1.000000,1.000000,0.090991,0.096941,0.093966,1.000000,1.000000,1.000000
1760904734539.920,0.030130,0.000000,0.015065,-0.077132,-0.050583,0.004907,1.000000,1.000000,1.000000,0.089442,0.099037,0.094239,1.000000,1.000000,1.000000
1760904734604.973,0.108396,0.220837,0.164616,0.021144,-0.104692,0.006719,1.000000,1.000000,1.000000,0.084363,0.096368,0.090365,1.000000,1.000000,1.000000
1760904734670.263,1.000000,1.000000,1.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1760904734744.407,0.026998,0.126650,0.076824,-0.057385,-0.090765,0.066396,1.000000,1.000000,1.000000,0.083498,0.079642,0.081570,1.000000,1.000000,1.000000
1760904734805.298,0.000000,0.088203,0.044102,0.216453,-0.077225,0.045148,1.000000,1.000000,1.000000,0.103509,0.077342,0.090426,1.000000,1.000000,1.000000
1760904734873.036,0.000000,0.211797,0.105899,0.424302,-0.196895,0.018104,1.000000,1.000000,1.000000,0.122661,0.066018,0.094339,1.000000,1.000000,1.000000
1760904734940.333,0.000000,0.195082,0.097541,0.500000,-0.254866,0.039561,1.000000,1.000000,1.000000,0.131473,0.058961,0.095217,1.000000,1.000000,1.000000
1760904735004.913,0.000000,0.310035,0.155018,0.500000,-0.453485,0.038098,1.000000,1.000000,1.000000,0.134859,0.060490,0.097675,1.000000,1.000000,1.000000
1760904735072.097,0.000000,0.308981,0.154491,0.500000,-0.347458,0.015983,1.000000,1.000000,1.000000,0.135110,0.068220,0.101665,1.000000,1.000000,1.000000
1760904735140.383,0.000000,0.266657,0.133328,0.500000,-0.295870,0.010358,1.000000,1.000000,1.000000,0.155784,0.060754,0.108269,1.000000,1.000000,1.000000
1760904735206.541,1.000000,1.000000,1.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1760904735276.951,0.000000,0.236604,0.118302,0.500000,-0.238496,0.012428,1.000000,1.000000,1.000000,0.316701,0.043311,0.180006,1.000000,1.000000,1.000000
1760904735341.218,0.000000,0.098320,0.049160,0.500000,-0.077000,0.026976,1.000000,1.000000,1.000000,0.177253,0.057795,0.117524,1.000000,1.000000,1.000000
1760904735404.669,0.000000,0.103965,0.051982,0.500000,-0.171766,0.006722,1.000000,1.000000,1.000000,0.202849,0.052115,0.127482,1.000000,1.000000,1.000000
1760904735470.355,1.000000,1.000000,1.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1760904735543.638,0.000000,0.379072,0.189536,0.500000,-0.500000,0.004338,1.000000,1.000000,1.000000,0.129648,0.062211,0.095930,1.000000,1.000000,1.000000
1760904735604.330,0.047506,0.430121,0.238813,0.500000,-0.466458,0.000530,1.000000,0.960261,0.980131,0.106883,0.060490,0.083686,1.000000,1.000000,1.000000
1760904735671.802,0.413481,0.290630,0.352055,0.500000,-0.500000,0.002578,1.000000,0.982895,0.991448,0.117937,0.059554,0.088745,1.000000,1.000000,1.000000
1760904735739.951,0.321290,0.327072,0.324181,0.500000,-0.500000,0.000771,1.000000,0.972292,0.986146,0.116841,0.060514,0.088677,1.000000,1.000000,1.000000
1760904735804.272,0.198944,0.460026,0.329485,0.500000,-0.453510,0.003080,1.000000,1.000000,1.000000,0.125763,0.055692,0.090728,1.000000,1.000000,1.000000
1760904735872.711,0.017789,0.550460,0.284124,0.500000,-0.500000,0.001264,1.000000,1.000000,1.000000,0.125581,0.067340,0.096460,1.000000,1.000000,1.000000
1760904735941.029,0.000000,0.219502,0.109751,0.500000,-0.230890,0.006076,1.000000,0.935296,0.967648,0.158518,0.067195,0.112856,1.000000,1.000000,1.000000
1760904736004.427,0.000000,0.000000,0.000000,0.472177,-0.128819,0.002889,1.000000,1.000000,1.000000,0.125989,0.064990,0.095490,1.000000,1.000000,1.000000
1760904736072.562,0.000000,0.018735,0.009368,0.430359,-0.087631,0.004386,1.000000,1.000000,1.000000,0.119091,0.059909,0.089500,1.000000,1.000000,1.000000
1760904736139.854,0.000000,0.000000,0.000000,0.485280,-0.156663,0.003207,1.000000,1.000000,1.000000,0.122278,0.064161,0.093219,1.000000,1.000000,1.000000
